;count;i;;;;;;;;
;0;255;;;;;;;;
;5000;95089;;;;;;;;
;10000;130121;;;;;;;;
;15000;155724;;;;;;;;
;20000;176160;;;;;;;;
;25000;193557;;;;;;;;
;30000;208845;;;;;;;;
;35000;222276;;;;;;;;
;40000;234321;;;;;;;;
;45000;245930;;;;;;;;
;50000;255963;;;;;;;;
;55000;265776;;;;;;;;
;60000;274964;;;;;;;;
;65000;283572;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
