0x16059,0x140a5
0xaa47b,0x10080
0xafdd9,0xa8869
0xbf29d,0x37607
0x6b2a,0xe82b2
0x7a50e,0xfd69e
0x6941b,0x65e2a
0x296f,0x75f1d
0x5d64b,0xe399d
0x2e75e,0x436cd
0x9528b,0xff03d
0xcfd69,0xe87a5
0x23083,0x45a54
0xa7146,0x48edb
0x4f7aa,0x191a7
0x738bd,0x346fb
0x1bedf,0x531b2
0x8ff08,0xff102
0x87626,0x58add
0x68579,0xf2ab5
0xfd898,0x5ff03
0xc5fef,0xfd6bf
0x8998c,0xd7281
0x512b,0xcca66
0x5184e,0x61647
0x3fc00,0x0ff28
0x5a43,0x1af78
0x27f9a,0x969d2
0x236f9,0x188c7
0x66a2a,0xa625e
0x35c16,0xf29b6
0xe9f86,0x297e8
0x63cf9,0x6ccdd
0x72cb,0xc6c8f
0xf9953,0x5c913
0x91b7d,0x15831
0x6717b,0xec3f1
0x1ce6c,0xe5884
0xa7328,0xc2c39
0xebfbb,0xa1c4c
0x8b973,0x2eee3
0x1322c,0x8e95e
0x3dcad,0x48f67
0x4dfe8,0x82843
0x7c46,0xcfb1f
0x8d785,0xcee9f
0xca101,0xaf139
0xe5761,0x939ac
0x33d79,0xdf89a
0x9297f,0xf7c25
0x38a43,0xd30d4
0x5f943,0x9574c
0x37a53,0x4c44c
0x16bc,0x53683
0x833c6,0xafeaf
0xc4ca5,0x0e113
0xc3d55,0x50c01
0x44f57,0xce832
0x2c0e4,0x11229
0xe281f,0x223b3
0x4bd13,0x06169
0x1bfa8,0xfd278
0x281cc,0x4eab9
0xec3ed,0x3492c
0x394e7,0x8cec1
0xccf40,0xdf7f8
0xfc4a4,0x39ccb
0x33b56,0x0eb2b
0xc3a6d,0xe467a
0x34e5b,0x9583b
0x62e22,0x9381c
0x4cc7,0xc0a69
0x5cd5e,0x426d6
0x13f99,0x26a9f
0xb123e,0xd148c
0xab931,0x535a7
0x21605,0xe3417
0xf2fe9,0xb307c
0x404d9,0x6de24
0x66350,0x3202a
0x33d04,0xed86e
0x6ec12,0x08343
0xb2ac3,0xdf6eb
0x8101e,0x27a60
0xec36c,0xd8736
0x56313,0x2b7d3
