0x46bf4,0x803e0
0x53d3c,0x59738
0x9d707,0xc75a7
0x16e92,0x05b9d
0x8049d,0x163d9
0x1ad89,0x5452d
0xeae2,0xbcbf3
0xe841b,0xf9591
0x814c,0x92dc5
0x223e6,0xd3f30
0xd8284,0xdd3a3
0x7873e,0xe16bf
0x5ec2a,0xef733
0xd9ea8,0xb921e
0x32a6b,0x679c9
0x9c207,0x13ac5
0x789ef,0xcb7d5
0xcc9d2,0x58912
0x8d5c0,0x90e19
0x717a9,0x27328
0x8b43b,0x6cd8a
0xa8a33,0xd6fff
0xb417c,0xb6253
0xc9559,0xeb539
0x68c58,0xb0ef5
0xd0daf,0x1ac8c
0x370cb,0xcd2a1
0x824b0,0x0e96c
0x15231,0x567bd
0xd4c87,0xb0806
0xe8e1b,0x47814
0xc9927,0x0e113
0xbf365,0x7f1d2
0x461c0,0x65e2a
0xe35bb,0xa29e1
0x7fc90,0x427b7
0xb8e28,0x45805
0xd33a,0x1cc98
0x2c176,0x766ec
0x8100,0x665d9
0xc165f,0x792c1
0xfd80c,0xaf72e
0xd4069,0x3f4c2
0x2f53e,0x86275
0x2f1ab,0xbe872
0xaa014,0x17ec8
0xd9881,0x2d986
0x8a677,0x47ea3
0x840a4,0x71dfc
0x2c92e,0x812d2
0x66f04,0x2738d
0xf4801,0x8ba1a
0x34842,0x6fa90
0x4baba,0x73695
0x2e352,0xb5a92
0x7710c,0x48df0
0xa580f,0x014d8
0xfb3b4,0x1d465
0x621eb,0x71ebc
0xf7fd2,0x53683
0xe9f21,0x6c619
0x46957,0x89da4
0xe651f,0xfee8f
0x3a263,0xa7860
0x298d5,0x612d7
0xa28fb,0xbaf42
0x7fa95,0x862f8
0x4c3a8,0x061e4
0x6c319,0xbad45
0xaf9b4,0xe1c37
0xaa201,0xa4601
0x95355,0x20cd8
0x31f91,0xdfb54
0x8a33d,0x2691b
0xf90a0,0xb685e
0xe9f59,0xc5e30
0x4de78,0x87425
0xa775e,0x23134
0x36145,0x32edd
0xbec33,0xd0e66
0x4f1c,0x240af
0x6c2e6,0x0f28c
0x1b4a2,0xef57f
0x771f3,0x53a38
0x3517b,0xe48ef
0x57b58,0x807a6
0xbaa44,0xf4abf
0xe8c58,0x08415
0x95380,0x41895
0xb6591,0xcbeac
0x3ce50,0xb594d
0xa6415,0x7c67b
0x1578e,0xdbd61
0xb1d51,0x4189d
0x9394,0x6c857
0x290d9,0xae918
0xd0c3,0x05f55
0x9eaef,0xb8a4f
0xe45f8,0x8088c
0x52c55,0xcae54
0x839ce,0xce872
0x25446,0x59738
0xa4b96,0x0752d
0x103dc,0x188c7
0xdc549,0x6358c
0x153f,0x74372
0x54469,0xac4f0
0x5ce2f,0x64981
0x88c2f,0xd0bb5
0x16dc4,0xb5871
0xb0cf6,0xaadaa
0x81f27,0xc2888
0x45778,0x3ccb1
0x25de3,0x97312
0x9083d,0x24292
0xde666,0x61fdd
0x59881,0x2c816
0x61350,0x46da2
0x6ba25,0x1f7f5
0x23250,0xf978b
0x3b5f5,0x23fa9
0x6f1ff,0x6542b
0x2ced1,0xea01a
0x3ebca,0xe6b8c
0xe28f8,0x6321d
0x78cc5,0x68d42
0x236c7,0xf4abf
0x467f2,0xc8c9f
0x78639,0xbc337
0x92e0d,0x580d2
0xeac42,0x3d276
0x2cda6,0xc04a9
0xc9526,0x870d3
0x7d72b,0x53b0f
0x52858,0x3c183
0x46883,0x8b828
0x5c210,0x1ea52
0xa2b04,0x72103
0x78897,0x4041c
0x51baf,0x85f93
0x2c1c7,0x1bfee
0x3837a,0x3aa30
0xad8bb,0x42db7
0xdd461,0x96124
0x728af,0xe5a16
0xe3977,0x3c677
0xbc419,0xb4b2b
0x77c23,0x0bd0b
0x745fe,0x8c0f5
0x96aa,0xfd123
0x5bf39,0x888d9
0xa8e54,0xab2e6
0x64808,0x0faf6
0xd4eac,0x2c6a7
0xf032a,0x870d3
0x2025f,0x0cd69
0xe46aa,0x48df0
0x2b947,0x5a02e
0x1944e,0x07eff
0x8b357,0x7ded1
0x9ec93,0x1a792
0xe1f44,0xbf6d9
0xb9073,0xe57d8
0xe9ca9,0x576cf
0x89720,0x3b2c9
0x17ba7,0xc5a4b
0x79b8,0x83cbb
0xd1517,0x4352d
0x38060,0xa3068
0x9980f,0x977aa
0x2a788,0xa0d06
0xa6a9f,0xe95c7
0xcfb14,0x816cd
0xc78b,0xc2d35
0x780d7,0x7fa7d
0x49ad9,0x2a43d
0x61d61,0xf0910
0xf3676,0xf3e06
0x43b12,0x448c9
0x4534f,0xef006
0x156b4,0x6cd8a
0x4fdf2,0x9e208
0x68eb3,0x97972
0x79382,0xa2500
0x21f8a,0x5f22c
0xb087,0x1738f
0x4c257,0x9574c
0x24bcf,0x69d8d
0xd823c,0xff102
0x9a039,0x79c60
0x98910,0xf08b0
0xc3e65,0xd4341
0x6fb2a,0xeb44a
0x16633,0x02409
0xe921f,0xcbeac
0x6e5b9,0x1fa83
0xf4ae5,0x4b4ea
0x6dece,0x09d41
0x5d5ad,0x1efef
0x8169a,0x56420
0xd7321,0x2efa6
0xf97a0,0x73695
0xb310d,0x93e3d
0x34469,0xba261
0x5d0bb,0x515d0
0x715c4,0x75fc7
0x65e37,0x4807e
0xdcb81,0x4a805
0xac21b,0x45c68
0x7fae3,0x5846c
0x43ac4,0x4a3c4
0x505c0,0xde35c
0x6bf7a,0x87666
0x8db7e,0xe731d
0x8a3b1,0x0b414
0xe5599,0x27514
0xc22ce,0x27784
0x13a85,0x6d1d6
0x5e56c,0xb5459
0xedf02,0xa3bd9
0x5ca3c,0xc8bce
0xadeb1,0xb0177
0x4073c,0x3a7b6
0x1d6b3,0xe56b3
0xc8775,0x24cb9
0xd2b2,0x9d7f2
0x1a898,0x22fb3
0xc20df,0x92bf8
0xda93c,0xcb7b0
0x8e8f2,0x92784
0xf7814,0xce9d3
0xccce8,0xfc85e
0xeea03,0xe15fa
0x60589,0x7bf31
0x305d2,0xa6d2e
0x7f8f9,0x4fcc1
0xb7841,0x252c7
0x2e65d,0x191fa
0xb3325,0x63e71
0x7c6a4,0xa28fe
0xe8a9e,0x1d165
0x4f567,0x3a7b6
0xd729a,0x27597
0xd0a30,0x59f20
0x51aa9,0x73e94
0x9475e,0xc0d79
0x35b23,0x92925
0xf8f42,0x21c3b
0xf431e,0x3712d
0xade3,0xee90a
0x8e44d,0xb1ee2
0x304e,0x51831
0xffc5,0x96124
0x1f2b1,0x93bef
0xc8c32,0x00f03
0x9e26a,0xae01b
0x7b7b2,0x24f1e
0x5ffd6,0xee40b
0x2f148,0xf151d
0xae4ad,0x10287
0xa46d4,0x3b0ee
0x13947,0x09794
0xaedf2,0xb801d
0x8df4a,0xea56b
0xb2d56,0xb4319
0x1f61f,0xcca66
0x43010,0x382e8
0xbeb76,0xbf2a2
0xae906,0x2c218
0x4758f,0x43b7e
0x1abba,0xf19d8
0xfda7b,0x884dc
0xb5379,0x04229
0x901f,0xe3e87
0x8d775,0xbea1a
0x7b311,0x5c21c
0x806f5,0x8323f
0x498d7,0xe0c9f
0xdf1b1,0x44043
0x47f6,0x7f2ed
0x53f37,0xcfaea
0xd1bf8,0xfd30a
0x9d0a,0x9005b
0xf2c9b,0x97aa7
0x8b15,0xeb6fc
0x236f0,0x2bfa2
0x78af0,0xd70a3
0x4621a,0x60869
0x85439,0x75c01
0x7543d,0xc9e56
0x8742c,0xc322f
0xc8581,0x2d3fa
0x20126,0xe56b3
0xbab21,0x3bc8a
0x4fbb1,0x169db
0x453ec,0x77b86
0x99557,0x371dc
0x6f908,0x193d3
0x96372,0xf2f65
